Record_ID,Date,Exporter_ID,State,Industry,MSME_Udyam,Manufacturing_Capacity_Tons,Revenue_Size_USD,Team_Size,Certification,Good_Payment_Terms,Prompt_Response_Score,Hiring_Signal,LinkedIn_Activity,SalesNav_ProfileViews,SalesNav_JobChange,Intent_Score,Shipment_Value_USD,Quantity_Tons,Tariff_Impact,StockMarket_Impact,War_Risk,Natural_Calamity_Risk,Currency_Shift,Converted,Impact_Score
975,2024-10-09,EXP_5670,Maharashtra,Engineering,1.0,,33822801,806,,1,0.23,1,3052,7750,1,0.9,443293.0,4753.0,0.25,0.17,0,0,0.86,0,0.86
976,2024-02-14,EXP_4351,Telangana,IT Software,,4340.0,10525427,1578,SOC2,0,0.37,0,13913,11645,0,0.02,218162.0,1747.0,1.0,0.71,1,1,0.83,0,0.83
977,2023-03-16,EXP_8480,Karnataka,Pharmaceuticals,1.0,,19950246,1150,FDA,1,0.38,1,17698,12905,1,0.42,443293.0,2702.0,0.93,-0.97,1,1,-0.71,0,-0.71
978,2022-01-14,EXP_8397,Punjab,Chemicals,0.0,,10382825,37,,0,0.76,0,16446,10799,0,0.04,443293.0,418.0,-0.78,0.7,1,1,0.39,1,0.39
979,2021-04-13,EXP_2231,Rajasthan,IT Software,0.0,,67914010,1625,SOC2,0,0.04,0,2150,10002,0,0.78,443293.0,1850.0,0.53,0.85,0,0,0.55,0,0.55
980,2021-02-08,EXP_4711,Tamil Nadu,Chemicals,0.0,4112.0,36804586,343,RoHS,0,0.66,1,23567,14316,1,0.07,262334.0,1581.0,-0.96,-0.66,0,1,0.5,0,0.5
981,2023-04-19,EXP_7239,Telangana,Engineering,,,68082939,1821,CE,0,0.73,1,23327,9913,1,0.64,443293.0,4439.0,0.5,0.0,0,1,-0.32,0,-0.32
982,2023-03-09,EXP_5028,Delhi,IT Software,,5813.0,32564787,342,,0,0.79,0,18740,4889,1,0.42,443293.0,4938.0,-0.81,0.93,1,1,0.1,0,0.1
983,2024-09-25,EXP_7091,Tamil Nadu,Pharmaceuticals,,,75829659,1383,,0,0.51,0,11360,8037,0,0.26,443293.0,2704.0,0.94,0.77,0,1,-0.1,0,-0.1
984,2024-01-20,EXP_7753,Punjab,Machinery,1.0,6988.0,56776409,1845,,1,0.77,0,4919,3682,1,0.36,443293.0,4209.0,0.81,0.66,1,1,0.05,0,0.05
985,2024-11-27,EXP_7698,Tamil Nadu,Auto Parts,,,13601965,1413,ISO9001,1,0.79,0,6955,7243,1,0.11,443293.0,2956.0,0.93,0.34,1,0,-0.03,0,-0.03
986,2023-07-11,EXP_1182,Maharashtra,Medical Devices,1.0,1074.0,48160381,1228,,0,0.29,0,2276,12724,0,0.4,443293.0,2549.0,-0.44,-0.49,1,0,0.93,0,0.93
987,2023-03-05,EXP_2120,Tamil Nadu,Medical Devices,0.0,,17462500,455,,1,0.35,0,18816,1052,1,0.86,566396.0,4427.0,0.51,0.85,0,1,-0.9,0,-0.9
988,2025-01-21,EXP_7450,Punjab,Auto Parts,,,60996437,538,ISO9001,0,0.87,0,13769,3541,0,0.72,443293.0,4765.0,-0.95,-0.65,1,0,-0.59,0,-0.59
989,2024-04-22,EXP_8229,Gujarat,Auto Parts,0.0,6412.0,32893188,95,ISO9001,0,0.25,0,12056,7932,1,0.91,743969.0,4136.0,-0.25,-0.79,1,1,-0.08,0,-0.08
990,2024-09-26,EXP_7276,Rajasthan,Electronics,1.0,847.0,25305269,78,ISO9001,0,0.48,1,16157,4353,1,0.18,443293.0,2330.0,0.62,-0.56,0,1,0.53,0,0.53
991,2024-09-20,EXP_4456,Haryana,Textiles,,2895.0,36688524,1420,,0,0.13,1,18166,11767,1,0.18,443293.0,3227.0,0.67,-0.41,0,0,-0.63,0,-0.63
992,2023-02-23,EXP_3678,Rajasthan,Medical Devices,,1937.0,62631680,129,,0,0.88,1,24481,1975,1,0.9,460666.0,2542.0,0.79,0.12,0,0,-0.04,1,-0.04
993,2022-12-06,EXP_8115,Delhi,Textiles,1.0,,25511569,1082,ISO9001,1,0.08,1,15045,12325,1,0.28,116793.0,2400.0,-0.06,-0.22,1,1,0.44,0,0.44
994,2023-03-01,EXP_8342,Rajasthan,Solar,1.0,401.0,58096390,1934,TUV,0,0.52,0,18999,7759,1,0.37,443293.0,3680.0,-0.62,-0.74,1,1,0.95,0,0.95
995,2022-01-03,EXP_8399,Haryana,Solar,1.0,2645.0,40711765,1444,UL,0,0.45,0,13727,1943,1,0.8,443293.0,4033.0,0.32,-0.68,1,1,-0.97,0,-0.97
996,2022-07-16,EXP_5848,Haryana,Medical Devices,0.0,,75941548,1167,,0,0.48,0,21195,4811,0,0.16,443293.0,4926.0,0.19,0.54,1,1,-0.91,0,-0.91
997,2025-01-22,EXP_7893,Gujarat,Chemicals,,,3616814,1304,ISO14001,0,0.68,1,15765,3146,1,0.33,119856.0,2537.0,-0.59,0.24,0,0,0.59,0,0.59
998,2021-12-07,EXP_1145,Gujarat,Chemicals,,,20173074,490,,0,0.75,1,8488,13592,0,0.77,443293.0,4744.0,0.92,-0.79,1,0,0.5,1,0.5
999,2024-09-02,EXP_1048,Karnataka,Pharmaceuticals,0.0,,11320595,847,EU-GMP,1,0.67,0,19656,2936,1,0.4,443293.0,732.0,-0.29,-0.66,1,1,-0.59,1,-0.59
1000,2022-11-23,EXP_6780,Maharashtra,Auto Parts,,3143.0,31772939,913,,0,0.2,1,11101,11320,0,0.83,446111.0,3974.0,0.6,0.89,1,0,0.31,0,0.31
1001,2021-01-11,EXP_2636,Delhi,Pharmaceuticals,,,14448845,1390,,0,0.64,1,1828,14601,0,0.81,349135.0,81.0,0.51,0.86,0,1,0.56,0,0.56
1002,2024-08-29,EXP_3881,Tamil Nadu,Chemicals,,,23316220,1683,REACH,1,0.87,0,15489,7863,0,0.86,443293.0,54.99000000000001,0.03,0.13,1,0,-0.07,0,-0.07
1003,2024-07-09,EXP_7352,Tamil Nadu,Machinery,1.0,7324.0,35008310,1744,,0,0.2,1,4568,4913,1,0.0,443293.0,3588.0,0.8,0.79,1,0,-0.29,0,-0.29
1004,2024-04-30,EXP_8562,Karnataka,Auto Parts,0.0,5113.0,75242280,747,,0,0.55,1,19483,12319,1,0.36,443293.0,1462.0,0.98,0.45,1,1,-0.95,0,-0.95
1005,2021-06-20,EXP_8640,Haryana,Chemicals,1.0,3598.0,55106747,1215,RoHS,0,0.09,1,2834,14964,1,0.6,520610.0,3811.0,0.74,0.85,0,1,-0.95,0,-0.95
1006,2021-06-04,EXP_8120,Delhi,Engineering,0.0,,60312980,597,ISO14001,1,0.22,0,200,13381,1,0.66,443293.0,973.0,0.06,0.97,1,0,-0.54,0,-0.54
1007,2021-11-16,EXP_4222,Karnataka,Pharmaceuticals,0.0,,5451499,1186,WHO-GMP,0,0.28,1,12655,7871,1,0.07,523085.0,4214.0,-0.65,-0.42,0,0,0.07,0,0.07
1008,2021-04-15,EXP_7659,Maharashtra,Machinery,,,7999229,855,ISO9001,0,0.73,1,16025,5325,1,0.57,443293.0,4380.0,-0.92,0.74,1,0,0.62,0,0.62
1009,2022-12-11,EXP_3318,Haryana,IT Software,0.0,,54359639,416,SOC2,1,0.04,0,9755,13017,0,0.9,443293.0,744.0,-0.53,-0.79,1,0,0.01,0,0.01
1010,2021-04-20,EXP_9025,Rajasthan,Solar,1.0,,17580478,131,TUV,0,0.05,0,9987,3006,1,0.62,443293.0,2117.0,-0.13,0.41,0,0,-0.59,0,-0.59
1011,2022-10-17,EXP_5216,Delhi,Electronics,,5796.0,50049208,1143,ISO9001,1,0.43,1,4857,1354,0,0.28,443293.0,3842.0,-0.52,-0.43,1,1,-0.01,0,-0.01
1012,2024-11-05,EXP_7173,Delhi,Electronics,,,17467233,1060,,0,0.61,1,3279,2037,1,0.16,443293.0,3058.0,0.43,0.88,1,0,-0.22,0,-0.22
1013,2024-08-23,EXP_5975,Tamil Nadu,Machinery,0.0,,49248695,38,,1,0.02,1,4401,9363,0,0.27,737445.0,2690.0,0.67,0.41,0,0,0.06,0,0.06
1014,2022-01-18,EXP_6955,Karnataka,Pharmaceuticals,0.0,,7708521,1015,EU-GMP,0,0.13,0,24169,3087,1,0.04,443293.0,3824.0,-0.78,-0.97,0,0,-0.14,0,-0.14
1015,2021-03-23,EXP_7945,Punjab,Chemicals,0.0,,58061221,1002,RoHS,1,0.57,1,12026,9588,0,0.63,181876.0,2370.0,-0.4,-0.82,0,0,0.0,0,0.0
1016,2021-11-18,EXP_8959,Rajasthan,Solar,,,60154123,1226,IEC,1,0.04,1,19645,3904,1,0.75,443293.0,4396.0,0.0,0.33,0,0,-0.74,0,-0.74
1017,2025-01-12,EXP_8158,Karnataka,Chemicals,0.0,,65815760,1785,REACH,0,0.62,0,8017,6365,1,0.59,500294.0,2221.0,-0.34,0.35,1,0,0.86,0,0.86
1018,2024-10-14,EXP_5338,Delhi,Auto Parts,1.0,,46870737,1266,,1,0.79,0,6395,7086,1,0.28,250387.0,1102.0,0.79,-0.46,1,1,-0.48,0,-0.48
1019,2023-10-12,EXP_1065,Rajasthan,Auto Parts,0.0,,50247181,142,,1,0.44,1,13813,1466,1,0.81,443293.0,4895.0,-0.4,-0.44,1,0,0.51,0,0.51
1020,2023-12-06,EXP_9401,Gujarat,IT Software,,,63721929,465,,0,0.36,0,21567,7323,0,0.15,443293.0,3853.0,-0.76,0.76,0,1,0.52,1,0.52
1021,2022-05-05,EXP_5783,Punjab,Auto Parts,0.0,,76446128,1722,ISO9001,1,0.87,1,9920,4557,1,0.83,443293.0,4400.0,0.33,0.22,1,0,0.66,0,0.66
1022,2023-12-22,EXP_1298,Telangana,Solar,1.0,7270.0,63783970,972,IEC,1,0.99,0,18909,9168,0,0.37,811119.0,4735.0,0.63,-0.14,1,1,0.77,1,0.77
1023,2022-09-05,EXP_8043,Rajasthan,Pharmaceuticals,0.0,3597.0,74366947,205,FDA,0,0.83,1,18668,14933,1,0.72,443293.0,1845.0,-0.17,-0.75,1,1,-0.14,0,-0.14
1024,2022-02-16,EXP_7525,Haryana,Chemicals,,3099.0,21939443,1882,REACH,1,0.66,0,3777,3211,1,0.65,756718.0,3613.0,0.91,0.58,0,1,0.83,1,0.83
1025,2021-02-07,EXP_8523,Tamil Nadu,Chemicals,,6936.0,70419586,1405,REACH,0,0.42,0,5853,10461,1,0.51,443293.0,2334.0,0.09,-0.22,1,1,0.86,0,0.86
1026,2024-04-26,EXP_5562,Gujarat,Auto Parts,1.0,3732.0,40175001,1333,ISO9001,1,0.85,0,20503,5383,1,0.87,82873.0,1083.0,-0.81,-0.78,1,1,-0.14,0,-0.14
1027,2021-08-08,EXP_7062,Karnataka,Medical Devices,0.0,,18454326,1909,ISO9001,1,0.48,0,3117,4399,1,0.42,492794.0,3159.0,-0.53,-0.46,0,1,-0.95,0,-0.95
1028,2022-03-14,EXP_7914,Delhi,Medical Devices,0.0,,79056590,94,,1,1.0,0,10455,7126,1,0.4,443293.0,1426.0,0.81,0.47,1,1,-0.8,0,-0.8
1029,2021-02-25,EXP_2341,Punjab,Electronics,0.0,,44154823,1741,ISO9001,1,0.37,0,24903,4360,0,0.21,443293.0,3874.0,-0.55,-0.72,0,0,0.95,0,0.95
1030,2022-05-25,EXP_9222,Telangana,Pharmaceuticals,,,35485782,210,EU-GMP,0,0.36,0,19667,9285,1,0.5,443293.0,1648.0,-0.43,-0.99,1,1,0.26,0,0.26
1031,2023-02-25,EXP_3573,Karnataka,Solar,0.0,,61561914,1486,TUV,1,0.28,1,8675,2958,1,0.8,443293.0,4508.0,-0.63,0.39,0,0,-0.25,0,-0.25
1032,2023-01-03,EXP_7597,Punjab,Engineering,,,13414682,489,CE,0,0.48,0,17334,14859,1,0.45,443293.0,598.0,-0.03,-0.45,0,0,0.48,0,0.48
1033,2022-07-28,EXP_3521,Rajasthan,Engineering,1.0,,68482799,1955,,1,0.08,0,21129,14810,0,0.81,443293.0,4459.0,-0.3,-0.23,0,0,0.35,1,0.35
1034,2022-04-30,EXP_7775,Tamil Nadu,Solar,1.0,665.0,59953644,1603,IEC,1,0.65,0,21036,3633,0,0.47,240117.0,1651.0,0.58,0.85,0,0,-0.89,0,-0.89
1035,2024-12-25,EXP_6240,Gujarat,Auto Parts,1.0,278.0,43159202,526,,1,0.94,1,8064,13368,0,0.24,443293.0,3350.0,0.2,0.17,0,0,0.87,0,0.87
1036,2025-01-10,EXP_8982,Karnataka,Machinery,,,29055449,1294,ISO9001,1,0.73,0,21735,4565,0,0.48,443293.0,412.0,0.98,0.91,1,0,0.93,0,0.93
1037,2024-03-27,EXP_8447,Rajasthan,Pharmaceuticals,0.0,8370.0,45169864,1580,,1,0.88,1,24912,469,0,0.32,443293.0,471.0,-0.81,0.65,1,1,-0.88,0,-0.88
1038,2021-04-25,EXP_8793,Telangana,Chemicals,0.0,,70832227,655,ISO14001,1,0.36,0,3870,8199,0,0.44,443293.0,3810.0,-0.57,-0.98,1,0,0.95,0,0.95
1039,2022-06-28,EXP_7747,Telangana,Electronics,0.0,,4456162,1240,ISO9001,0,0.57,0,7609,11012,1,0.03,443293.0,1055.0,0.75,-0.97,0,0,-0.01,0,-0.01
1040,2024-03-07,EXP_6688,Karnataka,Pharmaceuticals,0.0,6748.0,53396031,1577,,0,0.59,0,14374,11649,1,0.07,443293.0,703.0,-0.08,-0.18,0,1,0.86,0,0.86
1041,2022-03-15,EXP_2742,Maharashtra,Engineering,0.0,2784.0,24979780,416,,0,0.07,0,4040,9827,0,0.29,443293.0,1737.0,0.96,0.93,1,1,-0.74,0,-0.74
1042,2023-12-27,EXP_1450,Maharashtra,Textiles,1.0,,20652119,1253,,1,0.8,0,22719,277,1,0.4,521038.0,4365.0,0.31,0.24,0,1,0.38,1,0.38
1043,2022-12-25,EXP_8141,Punjab,Solar,0.0,7947.0,60357952,1693,TUV,1,0.46,0,7534,11534,0,0.56,443293.0,2708.0,-0.16,0.01,1,0,0.41,0,0.41
1044,2022-03-20,EXP_8080,Rajasthan,Pharmaceuticals,0.0,,46161350,1214,FDA,0,0.4,0,15842,1467,1,0.52,443293.0,255.0,-0.36,0.22,1,0,-0.98,0,-0.98
1045,2023-10-14,EXP_3249,Gujarat,Machinery,1.0,,64603662,778,,1,0.39,0,11986,6452,0,0.06,217105.0,4952.0,0.98,0.52,0,0,0.76,0,0.76
1046,2024-12-03,EXP_8340,Tamil Nadu,Textiles,,6364.0,30160485,141,ISO9001,1,0.59,0,16051,9505,1,0.87,94169.0,2855.0,-0.01,-0.71,0,1,-0.14,0,-0.14
1047,2024-11-29,EXP_9460,Rajasthan,Auto Parts,0.0,,61779268,688,ISO9001,0,0.2,0,1742,6049,1,0.11,659460.0,2512.0,-0.31,0.71,1,0,-0.51,0,-0.51
1048,2023-05-19,EXP_4148,Rajasthan,Solar,0.0,7329.0,72908325,144,,0,0.94,0,17484,13612,0,0.83,189298.0,1801.0,-0.01,-0.18,0,1,0.19,0,0.19
1049,2021-03-11,EXP_9654,Punjab,Chemicals,0.0,8099.0,34256117,1859,ISO14001,0,0.82,0,88,5414,1,0.61,236627.0,3173.0,0.65,0.87,0,1,-0.93,0,-0.93
1050,2023-10-16,EXP_6517,Telangana,Medical Devices,0.0,,45957319,738,,0,0.37,0,6813,4495,1,0.02,453283.0,2495.0,-0.87,0.66,0,0,0.54,0,0.54
1051,2022-05-18,EXP_9981,Haryana,Auto Parts,1.0,6031.0,24404542,291,ISO9001,1,0.39,1,10036,110,1,0.7,190915.0,4952.0,0.99,0.03,1,1,0.87,0,0.87
1052,2023-03-29,EXP_3673,Punjab,Solar,1.0,8690.0,58590162,332,UL,1,0.0,1,13235,4919,1,0.09,794842.0,1428.0,-0.45,-0.57,1,0,-0.66,0,-0.66
1053,2023-05-12,EXP_1265,Maharashtra,Chemicals,0.0,7746.0,57469396,411,RoHS,0,0.81,1,10571,12731,0,0.94,41277.0,2591.0,-0.9,0.67,0,1,-0.94,0,-0.94
1054,2021-04-11,EXP_1173,Haryana,Medical Devices,1.0,1508.0,36413997,1716,ISO9001,0,0.12,1,22496,11511,0,0.97,219488.0,2185.0,0.02,-0.04,1,1,0.23,0,0.23
1055,2024-04-10,EXP_6464,Maharashtra,Auto Parts,0.0,2447.0,26007298,1678,ISO9001,0,0.38,1,15434,4579,0,0.58,443293.0,2583.0,-0.36,-0.02,1,0,-0.98,0,-0.98
1056,2024-02-09,EXP_4484,Delhi,Electronics,0.0,426.0,24675541,1850,ISO9001,0,0.9,0,22326,1192,0,0.35,443293.0,4530.0,-0.01,0.25,0,1,0.14,0,0.14
1057,2022-12-22,EXP_4760,Punjab,Auto Parts,1.0,,63306957,1818,ISO9001,0,0.45,1,4293,2476,0,0.57,443293.0,2930.0,0.93,-0.52,1,0,-0.21,0,-0.21
1058,2024-09-22,EXP_5175,Gujarat,Chemicals,0.0,,3388990,1252,RoHS,1,1.0,0,21634,9879,0,0.62,443293.0,2229.0,-0.18,-0.46,0,1,-0.98,0,-0.98
1059,2022-03-18,EXP_2742,Gujarat,Engineering,0.0,,59830765,1262,,1,0.63,1,10727,13978,1,0.6,535568.0,3308.0,0.48,-0.46,1,1,-0.53,0,-0.53
1060,2022-07-16,EXP_6455,Punjab,Chemicals,,,57562881,568,ISO14001,0,0.6,0,22120,4070,0,0.05,443293.0,2087.0,-0.86,-0.8,1,0,0.33,1,0.33
1061,2021-03-18,EXP_6788,Tamil Nadu,Pharmaceuticals,,,11165829,1368,WHO-GMP,0,0.49,1,6091,8318,1,0.48,443293.0,4717.0,0.73,-0.37,0,0,0.88,0,0.88
1062,2021-09-04,EXP_8506,Tamil Nadu,Solar,1.0,6908.0,53900770,768,TUV,0,0.41,0,13662,8844,0,0.99,443293.0,1596.0,0.8,0.01,1,0,0.67,0,0.67
1063,2024-02-24,EXP_9694,Maharashtra,Machinery,,,74248009,1125,ISO9001,1,0.9,0,20097,10140,1,0.45,443293.0,4904.0,-0.99,-0.76,1,0,-0.01,0,-0.01
1064,2021-05-25,EXP_7211,Gujarat,Chemicals,,3497.0,55870160,31,,0,0.34,0,22970,12198,1,0.21,443293.0,4009.0,0.03,0.87,0,0,0.03,0,0.03
1065,2021-10-03,EXP_3422,Delhi,Chemicals,,,45241218,814,REACH,0,0.68,0,20397,1875,1,0.21,443293.0,1742.0,-0.76,0.75,0,0,0.51,0,0.51
1066,2021-11-11,EXP_7829,Haryana,Electronics,1.0,,41746404,815,ISO9001,1,0.52,0,7646,1687,0,0.85,443293.0,1812.0,-0.95,0.48,0,0,0.3,0,0.3
1067,2024-09-15,EXP_9736,Delhi,Engineering,,8199.0,44236605,85,CE,1,0.55,1,6778,4560,1,0.1,443293.0,3933.0,0.38,-0.9,0,1,0.31,0,0.31
1068,2022-05-15,EXP_6421,Haryana,Engineering,,,66749003,476,CE,0,0.1,1,9669,12842,0,0.22,591769.0,3700.0,-0.17,0.05,1,0,-0.82,0,-0.82
1069,2024-02-16,EXP_9728,Karnataka,Engineering,1.0,,76372224,690,CE,1,0.22,1,6585,7590,0,0.42,443293.0,1397.0,0.6,-0.54,0,0,-0.65,0,-0.65
1070,2021-05-11,EXP_2180,Maharashtra,Pharmaceuticals,1.0,6505.0,24797090,1537,WHO-GMP,0,0.02,0,2218,2576,1,0.41,33425.55,2698.0,0.43,-0.56,0,0,-0.2,0,-0.2
1071,2023-07-31,EXP_4154,Punjab,Auto Parts,,,17857908,504,,1,0.38,0,3382,8030,0,0.65,443293.0,1564.0,-0.17,0.11,1,1,-0.32,0,-0.32
1072,2024-03-12,EXP_5123,Telangana,Chemicals,1.0,3978.0,52334434,1742,ISO14001,1,0.26,1,24293,8462,0,0.8,306185.0,3491.0,0.75,-0.72,0,1,-0.38,0,-0.38
1073,2024-04-16,EXP_9311,Maharashtra,IT Software,1.0,1404.0,14376815,1770,ISO27001,1,0.23,1,24808,12002,0,0.71,72534.0,1578.0,0.67,0.35,0,0,-0.96,0,-0.96
1074,2022-02-14,EXP_8901,Maharashtra,Engineering,1.0,,60465674,796,ISO14001,0,0.73,0,14928,6666,0,0.91,443293.0,3830.0,-0.45,0.19,1,0,-0.84,0,-0.84
1075,2022-11-12,EXP_7162,Punjab,Machinery,1.0,,34391384,282,,0,0.98,1,15751,9534,1,0.28,566303.0,1980.0,0.75,0.45,0,1,0.75,1,0.75
1076,2022-10-04,EXP_5755,Maharashtra,IT Software,1.0,,39936452,1701,SOC2,1,0.56,0,19287,14510,0,0.71,194090.0,634.0,-0.13,0.06,1,1,0.59,0,0.59
1077,2022-07-30,EXP_5577,Karnataka,Machinery,,,10228893,324,,1,0.59,1,20386,7419,0,0.2,443293.0,2542.0,0.83,0.58,0,1,-0.52,0,-0.52
1078,2021-01-19,EXP_9230,Maharashtra,Engineering,,,66169120,189,,1,0.85,1,16178,12428,0,0.53,443293.0,80.0,-0.9,-0.85,0,1,0.89,0,0.89
1079,2021-05-28,EXP_5058,Rajasthan,Chemicals,,,65257174,1071,ISO14001,0,0.29,0,8808,1445,0,0.34,493296.0,4952.0,0.0,0.6,1,1,0.35,1,0.35
1080,2024-06-29,EXP_8345,Karnataka,Medical Devices,1.0,6195.0,24715466,1245,ISO9001,0,0.27,0,17098,8230,0,0.99,443293.0,2445.0,0.84,-0.2,0,1,-0.65,0,-0.65
1081,2024-04-18,EXP_4881,Maharashtra,Textiles,0.0,,11885838,1802,,0,0.91,0,18602,14158,0,0.91,443293.0,2845.0,-0.85,-0.26,1,1,-0.29,1,-0.29
1082,2024-05-10,EXP_3957,Maharashtra,Textiles,,6755.0,32272985,971,ISO9001,1,0.34,0,16998,573,1,0.48,443293.0,2639.0,-0.86,0.65,0,0,-0.9,1,-0.9
1083,2023-01-06,EXP_2998,Rajasthan,Electronics,0.0,,27524604,128,,1,0.1,0,3590,3199,1,0.14,800290.0,54.99000000000001,0.37,0.01,1,0,0.9,0,0.9
1084,2022-04-04,EXP_4709,Punjab,Machinery,1.0,8325.0,38939801,11,,0,0.47,0,24598,4578,1,0.4,443293.0,4099.0,-0.73,0.86,1,0,-0.46,0,-0.46
1085,2022-02-09,EXP_5150,Haryana,Auto Parts,,5184.0,55707215,1518,ISO9001,0,0.41,0,22864,6180,0,0.27,443293.0,2582.0,0.82,0.88,1,1,0.72,0,0.72
1086,2022-06-19,EXP_1533,Rajasthan,Machinery,1.0,2358.0,76930675,1640,ISO9001,1,0.55,1,1044,9867,0,0.27,443293.0,4952.0,0.43,0.17,0,0,-0.1,0,-0.1
1087,2021-09-02,EXP_4591,Delhi,Solar,,64.0,31154036,68,TUV,0,0.63,1,813,10978,1,0.58,83137.0,596.0,-0.62,-0.37,1,0,0.62,1,0.62
1088,2021-06-05,EXP_9961,Haryana,Medical Devices,0.0,,2602562,1709,,1,0.42,1,6351,5304,1,0.82,443293.0,1396.0,-0.3,0.3,1,1,-0.63,0,-0.63
1089,2021-12-01,EXP_4641,Telangana,IT Software,0.0,1991.0,78789374,1598,ISO27001,0,0.18,1,10605,397,0,0.03,443293.0,2067.0,-0.42,-0.66,0,1,0.71,0,0.71
1090,2023-11-19,EXP_9913,Telangana,IT Software,,5191.0,70855096,589,,0,0.52,0,19037,1140,0,0.77,443293.0,1998.0,0.64,0.37,1,0,-0.08,1,-0.08
1091,2023-09-11,EXP_1283,Tamil Nadu,Chemicals,,6255.0,15577585,1312,ISO14001,1,0.4,1,6542,738,1,0.76,443293.0,3436.0,0.82,0.5,0,0,0.84,0,0.84
1092,2025-01-21,EXP_6563,Rajasthan,IT Software,,,35939799,1757,SOC2,0,0.32,0,4311,8580,1,0.26,443293.0,1743.0,0.28,0.68,1,1,0.96,0,0.96
1093,2021-09-02,EXP_5109,Karnataka,Solar,1.0,8097.0,22469211,1523,IEC,1,0.18,1,12221,7061,1,0.71,443293.0,4864.0,-0.14,-0.64,1,1,0.05,0,0.05
1094,2021-03-02,EXP_2381,Punjab,Textiles,0.0,,43165973,1376,ISO9001,0,0.26,0,22244,9902,0,0.54,146902.0,1267.0,0.72,-0.37,0,0,0.24,0,0.24
1095,2025-02-03,EXP_2308,Tamil Nadu,Chemicals,0.0,628.0,48436253,277,RoHS,0,0.48,1,5338,7019,0,0.73,443293.0,3675.0,-0.64,-0.37,1,0,0.25,0,0.25
1096,2021-01-05,EXP_8387,Rajasthan,Auto Parts,0.0,6955.0,60263077,159,ISO9001,0,0.97,0,17082,2157,0,0.46,443293.0,1102.0,-0.18,0.27,0,0,-0.97,0,-0.97
1097,2021-05-08,EXP_5717,Karnataka,Electronics,0.0,2785.0,15859791,195,ISO9001,1,0.68,1,5776,14411,1,0.13,443293.0,894.0,-0.2,-0.54,0,0,0.27,0,0.27
1098,2024-01-29,EXP_7614,Telangana,Chemicals,1.0,786.0,31830661,816,,1,0.31,1,13216,9934,0,0.31,443293.0,4105.0,0.52,0.71,1,0,-0.16,0,-0.16
1099,2021-01-05,EXP_9728,Maharashtra,Chemicals,0.0,,52823859,362,ISO14001,1,1.0,1,22769,10234,1,0.09,443293.0,819.0,0.79,0.57,0,1,-0.07,0,-0.07
1100,2023-01-08,EXP_5310,Karnataka,Electronics,1.0,,2820897,796,,0,0.64,1,23859,3609,1,0.5,485687.0,2067.0,0.37,-0.06,0,0,0.02,0,0.02
1101,2024-01-28,EXP_4105,Rajasthan,IT Software,0.0,5041.0,12848241,1157,ISO27001,0,0.56,1,15685,2257,0,0.2,443293.0,3008.0,-0.26,0.58,1,1,0.79,0,0.79
1102,2021-07-04,EXP_3510,Rajasthan,Solar,,6383.0,57643053,409,TUV,1,0.93,0,8029,10576,1,0.44,748822.0,807.0,0.02,-0.81,0,0,-0.51,0,-0.51
1103,2023-04-15,EXP_2476,Telangana,Textiles,,,55115021,1383,,1,0.08,1,17280,13432,1,0.46,443293.0,2490.0,-0.41,0.38,1,0,-0.22,0,-0.22
1104,2024-11-28,EXP_7852,Telangana,Electronics,,7410.0,67735015,340,,1,0.93,1,12819,12425,0,0.24,443293.0,4674.0,-0.59,0.94,1,1,-0.73,0,-0.73
1105,2024-07-28,EXP_7724,Rajasthan,Auto Parts,,,2805605,935,ISO9001,1,0.01,0,883,12774,0,0.68,443293.0,715.0,-0.15,-0.65,0,0,-0.67,0,-0.67
1106,2021-07-31,EXP_9956,Rajasthan,Engineering,0.0,5223.0,22185308,1722,ISO9001,1,0.76,0,21704,12158,0,0.21,443293.0,1518.0,-0.45,0.39,0,1,-0.72,0,-0.72
1107,2024-10-10,EXP_9134,Haryana,Textiles,1.0,,35254800,1007,ISO9001,1,0.28,0,8248,4969,0,0.02,803033.0,4248.0,0.49,0.41,1,1,0.27,0,0.27
1108,2023-04-09,EXP_4632,Rajasthan,Medical Devices,1.0,8735.0,68377033,1432,,0,0.39,1,3326,11897,0,0.98,130806.0,3575.0,0.87,0.99,0,0,0.54,0,0.54
1109,2023-03-10,EXP_7617,Telangana,Medical Devices,1.0,,31623436,1417,ISO9001,0,0.36,1,5821,10584,0,0.7,515807.0,1183.0,-0.49,-0.52,0,1,0.79,0,0.79
1110,2023-05-16,EXP_2164,Gujarat,Textiles,0.0,5146.0,12223269,1679,ISO9001,1,0.76,0,12263,4987,0,0.69,443293.0,1072.0,0.13,-0.86,0,1,0.01,0,0.01
1111,2024-08-10,EXP_1832,Maharashtra,Auto Parts,,6536.0,62107235,1427,,1,0.62,1,13184,14977,1,0.57,738131.0,3567.0,-0.87,-0.97,1,0,-0.54,0,-0.54
1112,2023-04-14,EXP_8616,Karnataka,IT Software,1.0,7221.0,70687021,141,ISO27001,1,0.08,1,19543,552,1,0.3,443293.0,1845.0,-0.85,0.03,1,0,-0.91,0,-0.91
1113,2021-01-14,EXP_3535,Karnataka,Pharmaceuticals,1.0,,67312344,1412,WHO-GMP,0,0.67,1,2702,12812,0,0.48,464834.0,4468.0,-0.53,-0.92,1,0,0.16,0,0.16
